team1,team2,games,team1_winrate
DAMWON Gaming,Hanwha Life Esports,13,0.8461538461538461
Afreeca Freecs,DAMWON Gaming,10,0.2
DAMWON Gaming,DRX,9,0.7777777777777778
Hanwha Life Esports,Team Dynamics,9,0.5555555555555556
DAMWON Gaming,KT Rolster,12,0.75
SeolHaeOne Prince,Team Dynamics,5,0.2
Hanwha Life Esports,SANDBOX Gaming,9,0.3333333333333333
DAMWON Gaming,T1,9,0.7777777777777778
DRX,SeolHaeOne Prince,5,0.8
Afreeca Freecs,SANDBOX Gaming,13,0.6923076923076923
DAMWON Gaming,Team Dynamics,4,1.0
KT Rolster,SeolHaeOne Prince,4,1.0
Gen.G,SANDBOX Gaming,11,0.9090909090909091
T1,Team Dynamics,5,0.6
DAMWON Gaming,SeolHaeOne Prince,4,1.0
DRX,SANDBOX Gaming,5,0.8
Afreeca Freecs,Team Dynamics,6,0.6666666666666666
SeolHaeOne Prince,T1,4,0.0
DAMWON Gaming,Gen.G,10,0.3
SANDBOX Gaming,T1,12,0.25
Gen.G,SeolHaeOne Prince,4,1.0
SANDBOX Gaming,Team Dynamics,8,0.5
KT Rolster,Team Dynamics,5,0.4
SANDBOX Gaming,SeolHaeOne Prince,5,0.8
Afreeca Freecs,SeolHaeOne Prince,4,1.0
DAMWON Gaming,SANDBOX Gaming,9,0.6666666666666666
Gen.G,Team Dynamics,6,1.0
DRX,Team Dynamics,4,1.0
Hanwha Life Esports,SeolHaeOne Prince,6,0.5
KT Rolster,SANDBOX Gaming,9,0.6666666666666666
SANDBOX Gaming,Seorabeol Gaming,3,1.0
Griffin (Korean Team),SANDBOX Gaming,10,0.3
Griffin (Korean Team),Seorabeol Gaming,3,0.3333333333333333
DragonX,T1,9,0.2222222222222222
DAMWON Gaming,DragonX,12,0.25
APK Prince,DragonX,5,0.2
Griffin (Korean Team),Hanwha Life Esports,5,0.6
Afreeca Freecs,DragonX,9,0.5555555555555556
APK Prince,Hanwha Life Esports,8,0.75
Afreeca Freecs,Griffin (Korean Team),8,0.5
APK Prince,Gen.G,5,0.2
DAMWON Gaming,Griffin (Korean Team),8,0.25
APK Prince,Griffin (Korean Team),8,0.25
DragonX,Gen.G,5,0.6
APK Prince,KT Rolster,5,0.8
Griffin (Korean Team),T1,5,0.2
DragonX,KT Rolster,5,0.8
APK Prince,Afreeca Freecs,5,0.6
Griffin (Korean Team),KT Rolster,6,0.3333333333333333
DragonX,SANDBOX Gaming,6,0.6666666666666666
APK Prince,SANDBOX Gaming,4,0.5
DragonX,Griffin (Korean Team),4,1.0
APK Prince,DAMWON Gaming,4,0.0
APK Prince,T1,4,0.0
DragonX,Hanwha Life Esports,5,0.6
Gen.G,Griffin (Korean Team),7,0.5714285714285714
APK Prince,Brion Blade,3,0.3333333333333333
Hanwha Life Esports,Jin Air Green Wings,3,1.0
APK Prince,Jin Air Green Wings,4,0.75
DAMWON Gaming,SK Telecom T1,3,0.6666666666666666
DAMWON Gaming,Seoul,3,0.6666666666666666
Hanwha Life Esports,Seoul,3,0.3333333333333333
KT Rolster,Longzhu Gaming,5,0.6
KT Rolster,Samsung Galaxy,3,0.6666666666666666
Jin Air Green Wings,Longzhu Gaming,6,0.5
Griffin (Korean Team),SK Telecom T1,3,0.3333333333333333
Ever8 Winners,ROX Tigers,3,0.6666666666666666
Ever8 Winners,Team BattleComics,3,0.6666666666666666
DAMWON Gaming,Kongdoo Monster,3,0.6666666666666666
Gwangju,Jin Air Green Wings,3,0.3333333333333333
Kongdoo Monster,ROX Tigers,4,0.25
Jin Air Green Wings,ROX Tigers,3,0.3333333333333333
KT Rolster,Kongdoo Monster,3,0.3333333333333333
ESC Ever,Samsung Galaxy,5,0.8
CJ Entus,ESC Ever,5,0.0
CJ Entus,KT Rolster,3,0.6666666666666666
SBENU Sonicboom,SK Telecom T1,3,0.3333333333333333
ESC Ever,Rebels Anarchy,3,0.6666666666666666
CTU Pathos,KT Rolster,3,0.3333333333333333
CJ Entus,Winners,3,0.6666666666666666
Incredible Miracle,Jin Air Green Wings,3,0.3333333333333333
NaJin e-mFire,Rebels Anarchy,3,0.3333333333333333
