player,games,wins,winrate,elo,main_position,champion_pool,recent_winrate
PerfecT (Lee Seung-min),153,86,0.5620915032679739,1475.3386712146776,top,18,0.5
Poby,144,54,0.375,1346.20148204539,mid,20,0.1
Zest (Kim Dong-min),144,66,0.4583333333333333,1396.3156994783578,top,21,0.4
Enosh,140,54,0.38571428571428573,1431.2975811959313,bot,15,0.5
YoungJae,139,40,0.28776978417266186,1296.6801769074452,jng,23,0.4
Castle (Cho Hyeon-seong),138,78,0.5652173913043478,1518.8726288132784,top,25,0.2
IlllIma,137,52,0.3795620437956204,1397.097884188424,top,25,0.5
Callme,137,69,0.5036496350364964,1445.7010413247385,mid,23,0.5
Soboro,136,57,0.41911764705882354,1475.2732281918127,top,24,0.4
Siwoo,136,88,0.6470588235294118,1558.0135002291313,top,23,0.5
Ivory,136,47,0.34558823529411764,1392.685628550797,mid,27,0.4
Ellim,136,61,0.4485294117647059,1355.7593038950756,jng,19,0.2
Lancer,135,56,0.4148148148148148,1419.5673744622047,top,24,0.2
Frog (Lee Min-hoi),134,69,0.5149253731343284,1437.5671200960658,top,19,0.5
Envyy,131,45,0.3435114503816794,1329.1451639075349,bot,18,0.4
Burdol,130,66,0.5076923076923077,1360.044252360504,top,21,0.1
Khan,129,95,0.7364341085271318,1701.8969774164668,top,29,0.9
Noah (Oh Hyeon-taek),128,68,0.53125,1549.4951063549659,bot,19,0.7
Moham,127,66,0.5196850393700787,1562.6908472055004,sup,25,0.3
Saint (Kang Sung-in),125,81,0.648,1568.5002572174717,mid,26,0.5
Sharvel,121,79,0.6528925619834711,1568.4837926767605,jng,16,0.5
Bay,121,62,0.512396694214876,1528.7000851350947,mid,21,0.4
Jun (Yoon Se-jun),120,60,0.5,1429.517176145488,sup,23,0.4
Prince (Lee Chae-hwan),119,66,0.5546218487394958,1581.10970551969,bot,15,0.6
Loki (Lee Sang-min),118,62,0.5254237288135594,1529.5400882964848,mid,22,0.6
Zinie,116,83,0.7155172413793104,1650.388937317224,mid,19,0.5
Kangin,115,48,0.41739130434782606,1440.6358463116756,top,24,0.5
GorillA,114,55,0.4824561403508772,1465.761432192484,sup,23,0.4
DDoiV,113,44,0.3893805309734513,1419.8561107063595,jng,19,0.3
Calix (Syun Hyun-bin),113,58,0.5132743362831859,1407.6039062656125,mid,22,0.3
GuGer,110,44,0.4,1397.5672149330014,sup,25,0.4
Quid,109,51,0.46788990825688076,1417.0841351531024,mid,30,0.3
Pungyeon,109,50,0.45871559633027525,1420.566509158368,mid,18,0.2
Hoya,106,38,0.3584905660377358,1415.397454772916,top,21,0.4
HyBriD (Lee Woo-jin),106,37,0.3490566037735849,1366.5536344680843,bot,18,0.1
kyeahoo,104,38,0.36538461538461536,1374.0526430826944,mid,19,0.5
Rekkles,104,46,0.4423076923076923,1400.3033338144824,sup,22,0.4
Daystar,103,49,0.47572815533980584,1486.1371055010886,mid,23,0.4
Hoit,103,43,0.4174757281553398,1404.697953306939,sup,22,0.4
Route,103,39,0.3786407766990291,1407.2854123522357,bot,17,0.3
Trigger (Kim Eui-joo),103,56,0.5436893203883495,1614.741163653239,bot,20,0.6
Mystic,102,53,0.5196078431372549,1450.267402308972,bot,14,0.4
Ucal,102,37,0.3627450980392157,1399.473672870594,mid,25,0.2
Vincenzo (Ha Seung-min),99,31,0.31313131313131315,1322.9796310898298,jng,17,0.2
